epoch,loss,mAP
0,30.955976,0.000000
1,30.247164,0.000000
2,30.066852,0.000000
3,30.017445,0.000000
4,29.813193,0.000000
5,29.746501,0.000000
6,29.155928,0.000000
7,28.663834,0.000000
8,28.015676,0.000000
9,27.173555,0.015295
10,26.399867,0.000000
11,25.687468,0.000000
12,25.125324,0.000000
13,24.532853,0.000000
14,24.237297,0.000000
15,23.798993,0.000000
16,23.448551,0.000000
17,23.102670,0.000000
18,22.837812,0.000000
19,22.558884,0.043983
20,22.286741,0.000000
21,22.009779,0.000000
22,21.661311,0.000000
23,21.477800,0.000000
24,21.240708,0.000000
25,20.981807,0.000000
26,20.766030,0.000000
27,20.593866,0.000000
28,20.418267,0.000000
29,20.181978,0.102919
30,20.074871,0.000000
31,19.967119,0.000000
32,19.648080,0.000000
33,19.511503,0.000000
34,19.418378,0.000000
35,19.231443,0.000000
36,19.183823,0.000000
37,19.037370,0.000000
38,18.945525,0.000000
39,18.900430,0.152933
40,17.479400,0.000000
41,16.997509,0.000000
42,16.847413,0.000000
43,16.688067,0.000000
44,16.573038,0.000000
45,16.536111,0.000000
46,16.482585,0.000000
47,16.426509,0.000000
48,16.328213,0.000000
49,16.207108,0.232946
50,16.207474,0.000000
51,16.112139,0.000000
52,16.085205,0.000000
53,16.000740,0.000000
54,15.987872,0.000000
55,15.935299,0.000000
56,15.907730,0.000000
57,15.845839,0.000000
58,15.781503,0.000000
59,15.769948,0.255681
60,15.710115,0.000000
61,15.629642,0.000000
62,15.586468,0.000000
63,15.595163,0.000000
64,15.592836,0.000000
65,15.531764,0.000000
66,15.451884,0.000000
67,15.401311,0.000000
68,15.393202,0.000000
